Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
UBS GROUP N,UBSG.SW,UBSG.SW,Financial Services,CHF,21.63,0.49,0.0226,2007-04-19,2023-04-12,0.55,18.38
VALIANT N,VATN.SW,VATN.SW,Financial Services,CHF,94.6,5.0,0.0529,1998-05-20,2023-05-22,5.0,99.6
VAT GROUP N,VACN.SW,VACN.SW,Industrials,CHF,346.0,6.25,0.018099999,2017-05-19,2023-05-19,6.25,313.35
VAUDOISE ASSU N,VAHN.SW,VAHN.SW,Financial Services,CHF,436.0,20.0,0.045900002,2000-06-23,2023-05-10,20.0,453.0
VETROPACK N,VETN.SW,VETN.SW,Consumer Cyclical,CHF,44.55,1.0,0.0224,1998-05-19,2023-04-21,1.0,44.65
VONTOBEL N,VONN.SW,VONN.SW,Financial Services,CHF,54.9,3.0,0.0546,2002-04-19,2023-04-06,3.0,55.7
VPB VADUZ N,VPBN.SW,VPBN.SW,Financial Services,CHF,89.2,5.0,0.0561,2000-05-11,2023-05-03,5.0,93.6
VZ HOLDING N,VZN.SW,VZN.SW,Financial Services,CHF,87.0,1.74,0.02,2008-04-09,2023-04-14,1.74,76.56
WARTECK N,WARN.SW,WARN.SW,Real Estate,CHF,1810.0,70.0,0.0387,1996-05-15,2023-05-12,70.0,1960.0
WALLISER KB N,WKBN.SW,WKBN.SW,Financial Services,CHF,113.0,3.55,0.031400003,2004-05-11,2023-05-03,3.55,109.45
YPSOMED HLDG,YPSN.SW,YPSN.SW,Healthcare,CHF,250.5,1.3,0.0052,2011-07-12,2023-07-03,1.9500000000000002,268.7
ZEHNDER N,ZEHN.SW,ZEHN.SW,Industrials,CHF,56.8,1.8,0.0317,2000-06-14,2023-03-27,1.8,73.7
ZUG ESTATES HOLDING AG,ZUGN.SW,ZUGN.SW,Real Estate,CHF,1600.0,41.0,0.0256,2013-05-03,2023-04-12,41.0,1819.0
ZUEBLIN IMM N,ZUBN.SW,ZUBN.SW,Real Estate,CHF,26.8,1.0,0.0373,2016-03-04,2023-06-26,1.0,27.0
ZUGER KB N,ZUGER.SW,ZUGER.SW,Financial Services,CHF,7760.0,220.0,0.0286,2020-05-05,2023-05-16,220.0,7620.0
